courseId,courseName,chapterId,chapterName,lessonId,lessonName,taskId,taskTitle,scenario,pdfUrls,tallyUrls,answerKeyUrl,xp,instructions,topicId,topicTitle,videoUrl,description,order,questionId,question,options,correct
course_3,Regulatory Affairs,ch_3_01,Compliance Fundamentals,les_3_01_01,Understanding Regulatory Submissions,,,,,,,,,,,,,,quiz_3_01_01_1_4,What is EMA?,A) European Medicines Agency | B) Environmental Management Authority | C) Electronic Medical Association | D) Emergency Medical Aid,A
course_3,Regulatory Affairs,ch_3_01,Compliance Fundamentals,les_3_01_01,Understanding Regulatory Submissions,,,,,,,,,,,,,,quiz_3_01_01_1_5,What document is submitted for market approval?,A) NDA | B) SOP | C) QMS | D) DCR,A
course_4,Clinical Trials,ch_4_01,Ethics and Protocols,les_4_01_01,Basics of Trial Design,task_4_01_01_1,Protocol Deviation Report,"As a Clinical Research Coordinator at TrialTech Inc., your supervisor, Ms. Sarah Lee, asks you to identify deviations in a trial protocol from patient records and submit a Deviation Report Form.

Checklist:
1. Review trial protocol.
2. Compare with patient records.
3. Complete Deviation Report Form (100-150 words).

Why This Matters: Reporting deviations maintains trial integrity and patient safety.",https://drive.google.com/file/d/dummy_pdf4/view?usp=sharing,https://tally.so/r/dummy_form4,https://drive.google.com/file/d/dummy_answer4/view?usp=sharing,10,"Open Protocol: Click “Reference Documents” → read Clinical Trial Protocol.
Review Records: Note unauthorized dosage change.
Check Deviation: Compare protocol vs. records.
Open Form: Click “Fillable Document” → Deviation Report Form.
Complete Form: Type, Description, Corrective Action (100-150 words).
Verify and Check Answer.",topic_4_01_01_1,Basics of Trial Design,https://www.youtube.com/watch?v=cn9nxCZpIvM,Explore the basics of designing clinical trials including ethics and protocols. Essential for clinical researchers!,1,quiz_4_01_01_1_1,What is ICH GCP?,A) International Council for Harmonisation Good Clinical Practice | B) Internal Clinical Health Guidelines | C) International Clinical Harmony Protocol | D) Integrated Care Health Policy,A
course_4,Clinical Trials,ch_4_01,Ethics and Protocols,les_4_01_01,Basics of Trial Design,,,,,,,,,,,,,,quiz_4_01_01_1_2,What is the purpose of informed consent?,A) To inform participants of risks and benefits | B) To collect payment | C) To assign treatments | D) To schedule visits,A
course_4,Clinical Trials,ch_4_01,Ethics and Protocols,les_4_01_01,Basics of Trial Design,,,,,,,,,,,,,,quiz_4_01_01_1_3,Which committee reviews trial ethics?,A) IRB/IEC | B) FDA | C) EMA | D) WHO,A
course_4,Clinical Trials,ch_4_01,Ethics and Protocols,les_4_01_01,Basics of Trial Design,,,,,,,,,,,,,,quiz_4_01_01_1_4,What is a placebo in trials?,A) Inactive substance | B) Active drug | C) Surgical tool | D) Data analysis method,A
course_4,Clinical Trials,ch_4_01,Ethics and Protocols,les_4_01_01,Basics of Trial Design,,,,,,,,,,,,,,quiz_4_01_01_1_5,What is blinding in clinical trials?,A) Masking treatment assignment | B) Closing eyes | C) Data encryption | D) Trial termination,A
course_5,Pharmacovigilance,ch_5_01,Adverse Event Monitoring,les_5_01_01,Intro to Drug Safety,task_5_01_01_1,AE Reporting,"You are a Pharmacovigilance Officer at SafePharma Ltd. Your manager, Mr. John Kim, requires you to review an adverse event report and complete an AE Assessment Form based on causality guidelines.

Checklist:
1. Review ICH guidelines on AE.
2. Assess the report.
3. Complete AE Assessment Form (100-150 words).

Why This Matters: Proper AE reporting ensures drug safety post-market.",https://drive.google.com/file/d/dummy_pdf5/view?usp=sharing,https://tally.so/r/dummy_form5,https://drive.google.com/file/d/dummy_answer5/view?usp=sharing,10,"Open Guidelines: Click “Reference Documents” → read ICH AE Guidelines.
Review Report: Note patient symptoms after drug intake.
Assess Causality: Use Naranjo algorithm.
Open Form: Click “Fillable Document” → AE Assessment Form.
Complete Form: Causality, Severity, Recommendations (100-150 words).
Verify and Check Answer.",topic_5_01_01_1,Intro to Drug Safety,https://www.youtube.com/watch?v=cn9nxCZpIvM,Understand the basics of pharmacovigilance and adverse event monitoring. Crucial for drug safety professionals!,1,quiz_5_01_01_1_1,What is pharmacovigilance?,A) Monitoring drug safety | B) Drug manufacturing | C) Clinical testing | D) Marketing drugs,A
course_5,Pharmacovigilance,ch_5_01,Adverse Event Monitoring,les_5_01_01,Intro to Drug Safety,,,,,,,,,,,,,,quiz_5_01_01_1_2,What is an adverse event?,A) Any undesirable medical occurrence | B) Only serious injuries | C) Drug approval delays | D) Manufacturing defects,A
course_5,Pharmacovigilance,ch_5_01,Adverse Event Monitoring,les_5_01_01,Intro to Drug Safety,,,,,,,,,,,,,,quiz_5_01_01_1_3,Which algorithm assesses drug causality?,A) Naranjo | B) Pareto | C) Fishbone | D) Gantt,A
course_5,Pharmacovigilance,ch_5_01,Adverse Event Monitoring,les_5_01_01,Intro to Drug Safety,,,,,,,,,,,,,,quiz_5_01_01_1_4,What is PSUR?,A) Periodic Safety Update Report | B) Patient Safety Usage Record | C) Product Safety User Review | D) Post-Market Surveillance Report,A
course_5,Pharmacovigilance,ch_5_01,Adverse Event Monitoring,les_5_01_01,Intro to Drug Safety,,,,,,,,,,,,,,quiz_5_01_01_1_5,Who reports AEs to authorities?,A) Pharmacovigilance teams | B) Manufacturing leads | C) Sales reps | D) Patients directly,A
course_6,Supply Chain,ch_6_01,Logistics and Distribution,les_6_01_01,Supply Chain Basics,task_6_01_01_1,Inventory Audit,"As a Supply Chain Analyst at LogiPharm, your boss, Ms. Tina Wong, tasks you with auditing inventory levels against forecasts and completing an Inventory Adjustment Form.

Checklist:
1. Review inventory records.
2. Compare with demand forecasts.
3. Complete Inventory Adjustment Form (100-150 words).

Why This Matters: Accurate inventory prevents shortages and overstock.",https://drive.google.com/file/d/dummy_pdf6/view?usp=sharing,https://tally.so/r/dummy_form6,https://drive.google.com/file/d/dummy_answer6/view?usp=sharing,10,"Open Records: Click “Reference Documents” → read Inventory Logs.
Review Forecasts: Note higher demand than stock.
Audit Levels: Compare records vs. forecasts.
Open Form: Click “Fillable Document” → Inventory Adjustment Form.
Complete Form: Discrepancies, Adjustments, Rationale (100-150 words).
Verify and Check Answer.",topic_6_01_01_1,Supply Chain Basics,https://www.youtube.com/watch?v=cn9nxCZpIvM,Get started with supply chain management in pharma focusing on logistics and distribution. Perfect for analysts!,1,quiz_6_01_01_1_1,What is SCM?,A) Supply Chain Management | B) Sales Cycle Monitoring | C) Stock Control Method | D) Supplier Contract Maintenance,A
course_6,Supply Chain,ch_6_01,Logistics and Distribution,les_6_01_01,Supply Chain Basics,,,,,,,,,,,,,,quiz_6_01_01_1_2,What is cold chain in pharma?,A) Temperature-controlled logistics | B) Fast delivery service | C) Inventory freezing | D) Supplier negotiations,A
course_6,Supply Chain,ch_6_01,Logistics and Distribution,les_6_01_01,Supply Chain Basics,,,,,,,,,,,,,,quiz_6_01_01_1_3,What is FIFO in inventory?,A) First In First Out | B) Fast Inventory Flow Out | C) Final Inspection For Orders | D) Fixed Inventory For Operations,A
course_6,Supply Chain,ch_6_01,Logistics and Distribution,les_6_01_01,Supply Chain Basics,,,,,,,,,,,,,,quiz_6_01_01_1_4,Which is a key risk in supply chain?,A) Disruption from suppliers | B) Overproduction | C) Low demand | D) High profits,A
course_6,Supply Chain,ch_6_01,Logistics and Distribution,les_6_01_01,Supply Chain Basics,,,,,,,,,,,,,,quiz_6_01_01_1_5,What is ERP in supply chain?,A) Enterprise Resource Planning | B) Efficient Resource Processing | C) External Risk Prevention | D) Extended Revenue Projection,A
